fecha,valor
01/01/1985,259
01/02/1985,124
01/03/1985,88
01/04/1985,131
01/05/1985,163
01/06/1985,129
01/07/1985,102
01/08/1985,83
01/09/1985,78
01/10/1985,133
01/11/1985,206
01/12/1985,180
01/01/1986,169
01/02/1986,202
01/03/1986,198
01/04/1986,161
01/05/1986,144
01/06/1986,147
01/07/1986,126
01/08/1986,59
01/09/1986,58
01/10/1986,160
01/11/1986,187
01/12/1986,140
01/01/1987,93
01/02/1987,63
01/03/1987,60
01/04/1987,84
01/05/1987,130
01/06/1987,82
01/07/1987,74
01/08/1987,69
01/09/1987,46
01/10/1987,115
01/11/1987,142
01/12/1987,124
01/01/1988,72
01/02/1988,73
01/03/1988,71
01/04/1988,106
01/05/1988,101
01/06/1988,121
01/07/1988,168
01/08/1988,73
01/09/1988,94
01/10/1988,113
01/11/1988,354
01/12/1988,324
01/01/1989,249
01/02/1989,223
01/03/1989,223
01/04/1989,128
01/05/1989,172
01/06/1989,122
01/07/1989,107
01/08/1989,58
01/09/1989,64
01/10/1989,96
01/11/1989,128
01/12/1989,148
01/01/1990,196
01/02/1990,150
01/03/1990,132
01/04/1990,167
01/05/1990,185
01/06/1990,105
01/07/1990,88
01/08/1990,76
01/09/1990,49
01/10/1990,84
01/11/1990,123
01/12/1990,152
01/01/1991,147
01/02/1991,80
01/03/1991,125
01/04/1991,144
01/05/1991,126
01/06/1991,97
01/07/1991,114
01/08/1991,97
01/09/1991,69
01/10/1991,67
01/11/1991,150
01/12/1991,176
01/01/1992,121
01/02/1992,104
01/03/1992,69
01/04/1992,82
01/05/1992,74
01/06/1992,67
01/07/1992,92
01/08/1992,63
01/09/1992,40
01/10/1992,42
01/11/1992,103
01/12/1992,175
01/01/1993,160
01/02/1993,127
01/03/1993,139
01/04/1993,165
01/05/1993,166
01/06/1993,109
01/07/1993,86
01/08/1993,61
01/09/1993,52
01/10/1993,62
01/11/1993,180
01/12/1993,239
01/01/1994,211
01/02/1994,157
01/03/1994,153
01/04/1994,186
01/05/1994,149
01/06/1994,117
01/07/1994,95
01/08/1994,85
01/09/1994,56
01/10/1994,97
01/11/1994,180
01/12/1994,192
01/01/1995,112
01/02/1995,77
01/03/1995,89
01/04/1995,146
01/05/1995,148
01/06/1995,107
01/07/1995,94
01/08/1995,83
01/09/1995,59
01/10/1995,134
01/11/1995,164
01/12/1995,196
01/01/1996,186
01/02/1996,205
01/03/1996,206
01/04/1996,164
01/05/1996,144
01/06/1996,127
01/07/1996,145
01/08/1996,73
01/09/1996,51
01/10/1996,125
01/11/1996,148
01/12/1996,187
01/01/1997,319
01/02/1997,201
01/03/1997,137
01/04/1997,136
01/05/1997,125
01/06/1997,125
01/07/1997,141
01/08/1997,58
01/09/1997,42
01/10/1997,55
01/11/1997,114
01/12/1997,88
01/01/1998,44
01/02/1998,61
01/03/1998,55
01/04/1998,113
01/05/1998,129
01/06/1998,134
01/07/1998,89
01/08/1998,60
01/09/1998,49
01/10/1998,95
01/11/1998,269
01/12/1998,210
01/01/1999,273
01/02/1999,307
01/03/1999,234
01/04/1999,252
01/05/1999,160
01/06/1999,119
01/07/1999,97
01/08/1999,71
01/09/1999,98
01/10/1999,137
01/11/1999,291
01/12/1999,389
01/01/2000,329
01/02/2000,261
01/03/2000,261
01/04/2000,211
01/05/2000,198
01/06/2000,157
01/07/2000,112
01/08/2000,108
01/09/2000,92
01/10/2000,86
01/11/2000,165
01/12/2000,136
01/01/2001,99.4
01/02/2001,80.6
01/03/2001,123.5
01/04/2001,85.3
01/05/2001,92.5
01/06/2001,102.5
01/07/2001,68.3
01/08/2001,65.8
01/09/2001,54.9
01/10/2001,62
01/11/2001,126.3
01/12/2001,230.1
01/01/2002,130.1
01/02/2002,67.2
01/03/2002,80
01/04/2002,161.4
01/05/2002,117.2
01/06/2002,115.2
01/07/2002,75.9
01/08/2002,62.4
01/09/2002,38.2
01/10/2002,59.8
01/11/2002,92.9
01/12/2002,124.2
01/01/2003,67.7
01/02/2003,58.1
01/03/2003,81.3
01/04/2003,131.6
01/05/2003,113.7
01/06/2003,116.1
01/07/2003,92.2
01/08/2003,49.1
01/09/2003,45
01/10/2003,100.1
01/11/2003,153.8
01/12/2003,156.1
01/01/2004,168.2
01/02/2004,86.3
01/03/2004,73.4
01/04/2004,124.1
01/05/2004,111.3
01/06/2004,93.2
01/07/2004,67.7
01/08/2004,60.9
01/09/2004,41.5
01/10/2004,98.6
01/11/2004,233.7
01/12/2004,203
01/01/2005,155.3
01/02/2005,186.3
01/03/2005,182.1
01/04/2005,124.3
01/05/2005,129.8
01/06/2005,85.7
01/07/2005,66.5
01/08/2005,58.3
01/09/2005,50.1
01/10/2005,116.1
01/11/2005,212.2
01/12/2005,243.1
01/01/2006,191.6
01/02/2006,163.8
01/03/2006,192
01/04/2006,204.4
01/05/2006,182.2
01/06/2006,149.2
01/07/2006,89.8
01/08/2006,58.2
01/09/2006,48
01/10/2006,64.2
01/11/2006,144.8
01/12/2006,210.6
01/01/2007,122
01/02/2007,77.8
01/03/2007,118
01/04/2007,202.8
01/05/2007,200.5
01/06/2007,168.9
01/07/2007,75.4
01/08/2007,70.2
01/09/2007,50.8
01/10/2007,141.1
01/11/2007,227.5
01/12/2007,317
01/01/2008,208.7
01/02/2008,234.6
01/03/2008,210.9
01/04/2008,194.8
01/05/2008,215.1
