fecha,valor
01/01/1985,1.8
01/02/1985,1.7
01/03/1985,2.2
01/04/1985,2.9
01/05/1985,4.7
01/06/1985,3.5
01/07/1985,1.7
01/08/1985,1.9
01/09/1985,1.8
01/10/1985,2.1
01/11/1985,2.2
01/12/1985,3.6
01/01/1986,2.5
01/02/1986,2.3
01/03/1986,2.8
01/04/1986,4.1
01/05/1986,3.1
01/06/1986,3.2
01/07/1986,2.3
01/08/1986,2
01/09/1986,2
01/10/1986,2.7
01/11/1986,3.2
01/12/1986,2.1
01/01/1987,2.4
01/02/1987,1.8
01/03/1987,1.7
01/04/1987,1.9
01/05/1987,4
01/06/1987,2.4
01/07/1987,3.1
01/08/1987,4.3
01/09/1987,2.5
01/10/1987,4.1
01/11/1987,3.7
01/12/1987,1.9
01/01/1988,1.7
01/02/1988,1.8
01/03/1988,1.3
01/04/1988,2.5
01/05/1988,4.7
01/06/1988,5.1
01/07/1988,5.8
01/08/1988,4.3
01/09/1988,4.1
01/10/1988,4.7
01/11/1988,6
01/12/1988,5
01/01/1989,5.7
01/02/1989,4.7
01/03/1989,4.8
01/04/1989,3.3
01/05/1989,3.7
01/06/1989,4.3
01/07/1989,2.5
01/08/1989,2.2
01/09/1989,2.5
01/10/1989,3.2
01/11/1989,3
01/12/1989,2.7
01/01/1990,2.5
01/02/1990,1.6
01/03/1990,1.6
01/04/1990,4.5
01/05/1990,5.3
01/06/1990,4.3
01/07/1990,3.7
01/08/1990,2.2
01/09/1990,2
01/10/1990,3.8
01/11/1990,3.7
01/12/1990,2.9
01/01/1991,2.9
01/02/1991,2.3
01/03/1991,2.7
01/04/1991,2.7
01/05/1991,5.1
01/06/1991,5
01/07/1991,3
01/08/1991,2.3
01/09/1991,3
01/10/1991,2.5
01/11/1991,3.2
01/12/1991,3
01/01/1992,3
01/02/1992,2.2
01/03/1992,2
01/04/1992,1.7
01/05/1992,1.3
01/06/1992,2.2
01/07/1992,1.9
01/08/1992,1.6
01/09/1992,1.9
01/10/1992,1.6
01/11/1992,2
01/12/1992,2.4
01/01/1993,1.4
01/02/1993,1
01/03/1993,1.8
01/04/1993,2.1
01/05/1993,4.6
01/06/1993,3.6
01/07/1993,3.8
01/08/1993,2.6
01/09/1993,2
01/10/1993,3.4
01/11/1993,3.7
01/12/1993,2.8
01/01/1994,3.3
01/02/1994,2.7
01/03/1994,2.9
01/04/1994,4.6
01/05/1994,4.1
01/06/1994,2.8
01/07/1994,2.5
01/08/1994,2
01/09/1994,2.3
01/10/1994,3.4
01/11/1994,4.7
01/12/1994,3.1
01/01/1995,1.8
