fecha,valor
01/01/1985,23.9
01/02/1985,20.8
01/03/1985,27.5
01/04/1985,32.7
01/05/1985,44.9
01/06/1985,26.7
01/07/1985,20.4
01/08/1985,37
01/09/1985,38.1
01/10/1985,31.7
01/11/1985,26.6
01/12/1985,25.9
01/01/1986,28.3
01/02/1986,25.8
01/03/1986,21.7
01/04/1986,48.1
01/05/1986,45.2
01/06/1986,28.7
01/07/1986,17.6
01/08/1986,26.6
01/09/1986,34.9
01/10/1986,49.3
01/11/1986,48.6
01/12/1986,31
01/01/1987,19.7
01/02/1987,16.3
01/03/1987,28.9
01/04/1987,28.2
01/05/1987,45.3
01/06/1987,29.4
01/07/1987,41
01/08/1987,48
01/09/1987,66.4
01/10/1987,71.8
01/11/1987,53.6
01/12/1987,25.2
01/01/1988,18.8
01/02/1988,32.6
01/03/1988,28.2
01/04/1988,55.3
01/05/1988,46.4
01/06/1988,38.6
01/07/1988,34.5
01/08/1988,48
01/09/1988,68.2
01/10/1988,58.1
01/11/1988,73.1
01/12/1988,47
01/01/1989,59
01/02/1989,33.1
01/03/1989,47.2
01/04/1989,50.2
01/05/1989,45.7
01/06/1989,45.4
01/07/1989,24.4
01/08/1989,38.5
01/09/1989,63.6
01/10/1989,57.7
01/11/1989,52.7
01/12/1989,31.8
01/01/1990,26.6
01/02/1990,22.3
01/03/1990,19.3
01/04/1990,34.4
01/05/1990,27.5
01/06/1990,34.6
01/07/1990,28.5
01/08/1990,32.1
01/09/1990,49.6
01/10/1990,77.7
01/11/1990,56.4
01/12/1990,39.8
01/01/1991,25
01/02/1991,21.9
01/03/1991,22.9
01/04/1991,32.8
01/05/1991,40.1
01/06/1991,52.7
01/07/1991,23.4
01/08/1991,16.4
01/09/1991,21.7
01/10/1991,32.4
01/11/1991,45
01/12/1991,32.6
01/01/1992,21.3
01/02/1992,20.8
01/03/1992,22.7
01/04/1992,28
01/05/1992,42.2
01/06/1992,24
01/07/1992,20.8
01/08/1992,30.5
01/09/1992,43.1
01/10/1992,35.6
01/11/1992,30.4
01/12/1992,34.3
01/01/1993,28.9
01/02/1993,14.1
01/03/1993,23.6
01/04/1993,36.2
01/05/1993,34.9
01/06/1993,15.6
01/07/1993,24.2
01/08/1993,25.4
01/09/1993,59.8
01/10/1993,53.8
01/11/1993,37
01/12/1993,30.9
01/01/1994,26.5
01/02/1994,28.2
01/03/1994,34.1
01/04/1994,47.8
01/05/1994,46.9
01/06/1994,31.6
01/07/1994,33
01/08/1994,31.8
01/09/1994,36.4
01/10/1994,42.2
01/11/1994,49.3
01/12/1994,40.4
01/01/1995,38.2
01/02/1995,30.5
01/03/1995,36.5
01/04/1995,57.7
01/05/1995,52.8
01/06/1995,53.3
01/07/1995,36.8
01/08/1995,46.2
