fecha,valor
01/01/1985,183
01/02/1985,96
01/03/1985,222
01/04/1985,496
01/05/1985,529
01/06/1985,355
01/07/1985,275
01/08/1985,401
01/09/1985,526
01/10/1985,681
01/11/1985,642
01/12/1985,439
01/01/1986,143
01/02/1986,206
01/03/1986,259
01/04/1986,786
01/05/1986,699
01/06/1986,560
01/07/1986,309
01/08/1986,262
01/09/1986,418
01/10/1986,322
01/11/1986,754
01/12/1986,254
01/01/1987,162
01/02/1987,158
01/03/1987,181
01/04/1987,336
01/05/1987,769
01/06/1987,359
01/07/1987,505
01/08/1987,546
01/09/1987,505
01/10/1987,148
01/11/1987,768
01/12/1987,400
01/01/1988,122
01/02/1988,188
01/03/1988,97
01/04/1988,377
01/05/1988,447
01/06/1988,582
01/07/1988,550
01/08/1988,606
01/09/1988,741
01/10/1988,730
01/11/1988,129
01/12/1988,628
01/01/1989,507
01/02/1989,451
01/03/1989,580
01/04/1989,442
01/05/1989,572
01/06/1989,472
01/07/1989,432
01/08/1989,421
01/09/1989,653
01/10/1989,662
01/11/1989,540
01/12/1989,396
01/01/1990,178
01/02/1990,207
01/03/1990,233
01/04/1990,521
01/05/1990,615
01/06/1990,352
01/07/1990,316
01/08/1990,300
01/09/1990,295
01/10/1990,695
01/11/1990,626
01/12/1990,383
01/01/1991,134
01/02/1991,99
01/03/1991,236
01/04/1991,332
01/05/1991,631
01/06/1991,356
01/07/1991,302
01/08/1991,285
01/09/1991,339
01/10/1991,424
01/11/1991,643
01/12/1991,306
01/01/1992,117
01/02/1992,125
01/03/1992,123
01/04/1992,193
01/05/1992,365
01/06/1992,300
01/07/1992,246
01/08/1992,302
01/09/1992,267
01/10/1992,315
01/11/1992,384
01/12/1992,381
01/01/1993,222
01/02/1993,131
01/03/1993,180
01/04/1993,530
01/05/1993,743
01/06/1993,352
01/07/1993,318
01/08/1993,257
01/09/1993,443
01/10/1993,473
01/11/1993,646
01/12/1993,467
01/01/1994,175
01/02/1994,247
01/03/1994,469
01/04/1994,838
01/05/1994,922
01/06/1994,483
01/07/1994,393
01/08/1994,348
01/09/1994,445
01/10/1994,616
01/11/1994,806
01/12/1994,343
01/01/1995,104
01/02/1995,75
01/03/1995,267
01/04/1995,395
01/05/1995,521
01/06/1995,591
01/07/1995,418
01/08/1995,629
01/09/1995,469
01/10/1995,801
01/11/1995,611
01/12/1995,427
01/01/1996,197
01/02/1996,246
01/03/1996,566
01/04/1996,522
01/05/1996,805
01/06/1996,728
01/07/1996,729
01/08/1996,464
01/09/1996,423
01/10/1996,724
01/11/1996,493
01/12/1996,342
01/01/1997,198
01/02/1997,289
01/03/1997,232
01/04/1997,534
01/05/1997,581
01/06/1997,470
01/07/1997,295
01/08/1997,222
01/09/1997,331
01/10/1997,348
01/11/1997,522
01/12/1997,167
01/01/1998,91
01/02/1998,152
01/03/1998,205
01/04/1998,750
01/05/1998,784
01/06/1998,534
01/07/1998,467
01/08/1998,454
01/09/1998,557
01/10/1998,776
01/11/1998,729
01/12/1998,557
01/01/1999,360
01/02/1999,619
01/03/1999,522
01/04/1999,679
01/05/1999,601
01/06/1999,513
01/07/1999,400
01/08/1999,443
01/09/1999,634
01/10/1999,994
01/11/1999,868
01/12/1999,633
01/01/2000,286
01/02/2000,336
01/03/2000,488
01/04/2000,525
01/05/2000,632
01/06/2000,572
01/07/2000,442
01/08/2000,355
01/09/2000,609
01/10/2000,625
01/11/2000,569
01/12/2000,302
01/01/2001,151
01/02/2001,113
01/03/2001,247
01/04/2001,246
01/05/2001,463
01/06/2001,369
01/07/2001,268
01/08/2001,276
01/09/2001,385
01/10/2001,597
01/11/2001,599
01/12/2001,373
01/01/2002,122
01/02/2002,106
01/03/2002,343
01/04/2002,695
01/05/2002,572
01/06/2002,711
01/07/2002,282
01/08/2002,249
01/09/2002,283
01/10/2002,356
01/11/2002,405
01/12/2002,283
01/01/2003,88
01/02/2003,114
01/03/2003,163
01/04/2003,592
01/05/2003,552
01/06/2003,570
01/07/2003,338
01/08/2003,383
01/09/2003,448
01/10/2003,710
01/11/2003,691
01/12/2003,424
01/01/2004,201
01/02/2004,108
01/03/2004,147
01/04/2004,483
01/05/2004,725
01/06/2004,434
01/07/2004,286
01/08/2004,276
01/09/2004,427
01/10/2004,669
01/11/2004,854
01/12/2004,323
01/01/2005,216
01/02/2005,282
01/03/2005,157
01/04/2005,406
01/05/2005,630
01/06/2005,446
01/07/2005,306
01/08/2005,279
01/09/2005,308
01/10/2005,654
01/11/2005,823
01/12/2005,402
01/01/2006,257
01/02/2006,154
01/03/2006,405
01/04/2006,698
01/05/2006,893
01/06/2006,640
01/07/2006,317
01/08/2006,273
01/09/2006,337
01/10/2006,624
01/11/2006,760
01/12/2006,494
01/01/2007,191
01/02/2007,87
01/03/2007,298
01/04/2007,633
01/05/2007,655
01/06/2007,481
01/07/2007,362
01/08/2007,448
01/09/2007,429
01/10/2007,869
01/11/2007,659
01/12/2007,398
01/01/2008,239
01/02/2008,176
01/03/2008,208
01/04/2008,333
01/05/2008,692
01/06/2008,518
01/07/2008,413
01/08/2008,506
01/09/2008,567
01/10/2008,715
01/11/2008,766
