fecha,valor
01/01/1985,24.6
01/02/1985,20.8
01/03/1985,25.6
01/04/1985,30.6
01/05/1985,41
01/06/1985,29.8
01/07/1985,25.3
01/08/1985,41.9
01/09/1985,54.8
01/10/1985,47.4
01/11/1985,40.5
01/12/1985,30.8
01/01/1986,24.4
01/02/1986,29.5
01/03/1986,24.9
01/04/1986,42.7
01/05/1986,32.6
01/06/1986,40.2
01/07/1986,26.4
01/08/1986,23.4
01/09/1986,23.9
01/10/1986,52.4
01/11/1986,37.2
01/12/1986,23.9
01/01/1987,17.9
01/02/1987,15.8
01/03/1987,14.9
01/04/1987,18.3
01/05/1987,34
01/06/1987,16.9
01/07/1987,20.6
01/08/1987,24.6
01/09/1987,33.9
01/10/1987,46.6
01/11/1987,30.4
01/12/1987,25.4
01/01/1988,15.6
01/02/1988,15.8
01/03/1988,11.5
01/04/1988,23.6
01/05/1988,25.9
01/06/1988,29
01/07/1988,28.4
01/08/1988,48.9
01/09/1988,51.1
01/10/1988,54.4
01/11/1988,62
01/12/1988,49.1
01/01/1989,37.5
01/02/1989,31.2
01/03/1989,30.7
01/04/1989,28.8
01/05/1989,41.4
01/06/1989,35.1
01/07/1989,26.4
01/08/1989,32.4
01/09/1989,43.3
01/10/1989,45.3
01/11/1989,42.5
01/12/1989,27.5
01/01/1990,23.1
01/02/1990,25.5
01/03/1990,24.2
01/04/1990,33.5
01/05/1990,36.4
01/06/1990,28.9
01/07/1990,25.1
01/08/1990,19.8
01/09/1990,27.6
01/10/1990,55
01/11/1990,35
01/12/1990,24.8
01/01/1991,21.3
01/02/1991,14.5
01/03/1991,24.6
01/04/1991,24.8
01/05/1991,35.2
01/06/1991,28.2
01/07/1991,26.8
01/08/1991,26
01/09/1991,21.1
01/10/1991,37.1
01/11/1991,38.8
01/12/1991,30.5
01/01/1992,17
01/02/1992,16.6
01/03/1992,19.3
01/04/1992,17.3
01/05/1992,25.9
01/06/1992,19.8
01/07/1992,19
01/08/1992,22.7
01/09/1992,28.2
01/10/1992,22.6
01/11/1992,26.6
01/12/1992,31.1
01/01/1993,21.8
01/02/1993,13.2
01/03/1993,16.6
01/04/1993,25.5
01/05/1993,40
01/06/1993,17.2
01/07/1993,22.8
01/08/1993,23.7
01/09/1993,40.5
01/10/1993,42.1
01/11/1993,51
01/12/1993,42.7
01/01/1994,22.3
01/02/1994,25
01/03/1994,33.9
01/04/1994,41.5
01/05/1994,35.9
01/06/1994,35.4
01/07/1994,27
01/08/1994,32.6
01/09/1994,29.6
01/10/1994,40
01/11/1994,44.7
01/12/1994,23.8
01/01/1995,16.8
01/02/1995,13.8
01/03/1995,16.4
01/04/1995,21.2
01/05/1995,30.4
01/06/1995,33.2
01/07/1995,37
01/08/1995,51.7
01/09/1995,40.3
01/10/1995,48.8
01/11/1995,40
01/12/1995,43
01/01/1996,29.8
01/02/1996,29.1
01/03/1996,47.6
01/04/1996,37.4
01/05/1996,59.1
01/06/1996,59.1
01/07/1996,68.1
01/08/1996,41.1
01/09/1996,36.6
01/10/1996,46
01/11/1996,40.1
01/12/1996,27.1
01/01/1997,26.3
01/02/1997,25.1
01/03/1997,22
01/04/1997,32.2
01/05/1997,23.5
01/06/1997,30.6
01/07/1997,16.7
01/08/1997,13
01/09/1997,15.7
01/10/1997,15
01/11/1997,24.9
01/12/1997,14.5
01/01/1998,10.9
01/02/1998,10.7
01/03/1998,12.9
01/04/1998,27.6
01/05/1998,33.9
01/06/1998,31.6
01/07/1998,38.1
01/08/1998,31.2
01/09/1998,48.6
01/10/1998,40
01/11/1998,40
01/12/1998,42.4
01/01/1999,35.6
01/02/1999,39.3
01/03/1999,49.3
01/04/1999,48.3
01/05/1999,47
01/06/1999,48.2
01/07/1999,36.4
01/08/1999,37.5
01/09/1999,56.6
01/10/1999,52.1
01/11/1999,44.8
01/12/1999,47.5
01/01/2000,28.5
01/02/2000,31
01/03/2000,29.1
01/04/2000,33.8
01/05/2000,45.6
01/06/2000,47.1
01/07/2000,42.6
01/08/2000,41.9
01/09/2000,56.1
01/10/2000,40.9
01/11/2000,38.7
01/12/2000,27.9
01/01/2001,22
01/02/2001,18
01/03/2001,27.2
01/04/2001,22
01/05/2001,32.6
01/06/2001,36.7
01/07/2001,31.9
01/08/2001,19.5
01/09/2001,29.4
01/10/2001,32.4
01/11/2001,42
01/12/2001,32.7
01/01/2002,20.2
01/02/2002,16.4
01/03/2002,19.5
01/04/2002,30.4
01/05/2002,32.3
01/06/2002,39.8
01/07/2002,20.3
01/08/2002,16.8
01/09/2002,15.7
01/10/2002,22.2
01/11/2002,23.5
01/12/2002,27.4
01/01/2003,13.4
01/02/2003,15.2
01/03/2003,17.2
01/04/2003,28.5
01/05/2003,32.5
01/06/2003,39.3
01/07/2003,21.8
01/08/2003,22.7
01/09/2003,26
01/10/2003,35
01/11/2003,35.7
01/12/2003,31.4
01/01/2004,22.7
01/02/2004,17.5
01/03/2004,17
01/04/2004,20.9
01/05/2004,31.7
01/06/2004,25.1
01/07/2004,36.9
01/08/2004,23.1
01/09/2004,35.9
01/10/2004,34.4
01/11/2004,44.1
01/12/2004,28.5
01/01/2005,20.8
01/02/2005,16.4
01/03/2005,14.3
01/04/2005,22.8
01/05/2005,36.6
01/06/2005,30.5
01/07/2005,22.3
01/08/2005,18.6
01/09/2005,22.3
01/10/2005,41.4
01/11/2005,44.9
01/12/2005,27.8
01/01/2006,23
01/02/2006,18
01/03/2006,26.8
01/04/2006,39.9
01/05/2006,59.2
01/06/2006,45.2
01/07/2006,24.7
01/08/2006,25.3
01/09/2006,33.9
01/10/2006,34.2
01/11/2006,54.2
01/12/2006,35.9
01/01/2007,22.7
01/02/2007,16.3
