fecha,valor
01/01/1985,0.17
01/02/1985,0.03
01/03/1985,0
01/04/1985,2.42
01/05/1985,6.8
01/06/1985,9.96
01/07/1985,7.04
01/08/1985,5.36
01/09/1985,4.12
01/10/1985,6.4
01/11/1985,5.47
01/12/1985,2.11
01/01/1986,0.63
01/02/1986,3.94
01/03/1986,5.02
01/04/1986,1.58
01/05/1986,2.82
01/06/1986,13.45
01/07/1986,11.24
01/08/1986,5.44
01/09/1986,2.16
01/10/1986,5.94
01/11/1986,3.38
01/12/1986,1
01/01/1987,0
01/02/1987,0.23
01/03/1987,0.33
01/04/1987,1.52
01/05/1987,3.29
01/06/1987,3.3
01/07/1987,8.79
01/08/1987,4.73
01/09/1987,2.01
01/10/1987,6.62
01/11/1987,3.25
01/12/1987,0.92
01/01/1988,0
01/02/1988,0
01/03/1988,0
01/04/1988,0
01/05/1988,0.8
01/06/1988,3.49
01/07/1988,9.05
01/08/1988,2.75
01/09/1988,3.04
01/10/1988,3.85
01/11/1988,6.18
01/12/1988,4.16
01/01/1989,0
01/02/1989,0
01/03/1989,4.39
01/04/1989,1.89
01/05/1989,4.22
01/06/1989,8.39
01/07/1989,8.04
01/08/1989,2.49
01/09/1989,0.72
01/10/1989,0
01/11/1989,1.03
01/12/1989,0.65
01/01/1990,0
01/02/1990,1.07
01/03/1990,1.1
01/04/1990,1.29
01/05/1990,9.61
01/06/1990,7.65
01/07/1990,4.52
01/08/1990,4.58
01/09/1990,0.24
01/10/1990,1.92
01/11/1990,1.72
01/12/1990,1.68
01/01/1991,0
01/02/1991,0
01/03/1991,0.78
01/04/1991,1.28
01/05/1991,0.97
01/06/1991,2.04
01/07/1991,11.75
01/08/1991,9.07
01/09/1991,2.57
01/10/1991,1.09
01/11/1991,3.88
01/12/1991,0
01/01/1992,0
01/02/1992,0
01/03/1992,1.45
01/04/1992,2.68
01/05/1992,1.49
01/06/1992,1.62
01/07/1992,8.79
01/08/1992,4.06
01/09/1992,2.3
01/10/1992,1.32
01/11/1992,4.16
01/12/1992,2.33
01/01/1993,0.45
01/02/1993,0.04
01/03/1993,0
01/04/1993,0.9
01/05/1993,5.11
01/06/1993,7.94
01/07/1993,9.14
01/08/1993,5.19
01/09/1993,2.87
01/10/1993,1.66
01/11/1993,2.12
01/12/1993,0.43
01/01/1994,0.56
01/02/1994,0.5
01/03/1994,1.02
01/04/1994,0.78
01/05/1994,4.76
01/06/1994,7.07
01/07/1994,14.96
01/08/1994,7.54
01/09/1994,5.42
01/10/1994,9.74
01/11/1994,2.89
01/12/1994,1.3
01/01/1995,0.69
01/02/1995,0.67
01/03/1995,1.07
01/04/1995,1.43
01/05/1995,3.48
01/06/1995,4.19
01/07/1995,4.13
01/08/1995,5.16
01/09/1995,1.27
01/10/1995,1.44
01/11/1995,1.16
01/12/1995,1.72
01/01/1996,4.07
01/02/1996,2.83
01/03/1996,5.03
01/04/1996,3.2
01/05/1996,5.28
01/06/1996,4.6
01/07/1996,12.51
01/08/1996,4.79
01/09/1996,0.45
01/10/1996,3.56
01/11/1996,1.96
01/12/1996,1.4
01/01/1997,3.03
01/02/1997,0.77
01/03/1997,0.35
01/04/1997,1.32
01/05/1997,4.05
01/06/1997,3.05
01/07/1997,17.94
01/08/1997,5
01/09/1997,2.45
01/10/1997,1.32
01/11/1997,1.54
01/12/1997,0.69
01/01/1998,0.21
01/02/1998,0.89
01/03/1998,0.83
01/04/1998,0.79
01/05/1998,7.08
01/06/1998,9.82
01/07/1998,11.26
01/08/1998,1.31
01/09/1998,3.64
01/10/1998,1.75
01/11/1998,2.68
01/12/1998,2.85
01/01/1999,1.26
01/02/1999,2.51
01/03/1999,2.58
01/04/1999,5.18
01/05/1999,2.64
01/06/1999,5.08
01/07/1999,3.04
01/08/1999,4.83
01/09/1999,5.39
01/10/1999,9.59
01/11/1999,5.93
01/12/1999,2.16
01/01/2000,1.63
01/02/2000,1.34
01/03/2000,1.78
01/04/2000,3.45
01/05/2000,4.2
01/06/2000,6.16
01/07/2000,7.45
01/08/2000,6.02
01/09/2000,5.42
01/10/2000,3.6
01/11/2000,4.52
01/12/2000,2.14
01/01/2001,0.52
01/02/2001,0.7
01/03/2001,1.18
01/04/2001,0.54
01/05/2001,3.64
01/06/2001,7.46
01/07/2001,5.42
01/08/2001,7.9
01/09/2001,4.29
01/10/2001,1.85
01/11/2001,3.73
01/12/2001,3.37
01/01/2002,0.71
01/02/2002,0.78
01/03/2002,1.07
01/04/2002,3.07
01/05/2002,6.66
01/06/2002,16.84
01/07/2002,13.74
01/08/2002,14.97
01/09/2002,2.47
01/10/2002,1.61
01/11/2002,2.73
01/12/2002,0.57
01/01/2003,0.58
01/02/2003,1.91
01/03/2003,1.82
01/04/2003,3.06
01/05/2003,6.05
01/06/2003,3.14
01/07/2003,6.27
01/08/2003,5.09
01/09/2003,3.54
01/10/2003,3.86
01/11/2003,2.95
01/12/2003,1.91
01/01/2004,1.59
01/02/2004,2.1
01/03/2004,2.63
01/04/2004,3.84
01/05/2004,7.78
01/06/2004,15.87
01/07/2004,5.89
01/08/2004,7.68
01/09/2004,4.62
01/10/2004,4.87
01/11/2004,4.73
01/12/2004,2.41
01/01/2005,0.97
01/02/2005,1.38
01/03/2005,0.97
01/04/2005,4.27
01/05/2005,7.52
01/06/2005,5.02
01/07/2005,3.61
01/08/2005,5.42
01/09/2005,4.87
01/10/2005,6.05
01/11/2005,9.82
01/12/2005,1.03
01/01/2006,0.86
01/02/2006,1.01
01/03/2006,3.02
01/04/2006,7.81
01/05/2006,13.47
01/06/2006,9.4
01/07/2006,8.55
01/08/2006,4.05
01/09/2006,2.2
01/10/2006,5.2
01/11/2006,5.04
01/12/2006,1.42
01/01/2007,0.31
01/02/2007,0.71
01/03/2007,0.75
01/04/2007,2.2
01/05/2007,2.07
01/06/2007,8
01/07/2007,4.9
01/08/2007,5.19
01/09/2007,2.9
01/10/2007,3.84
01/11/2007,2.59
01/12/2007,2.3
01/01/2008,0.95
01/02/2008,1.33
01/03/2008,0.92
01/04/2008,1.74
01/05/2008,6.2
01/06/2008,7.55
01/07/2008,10.42
01/08/2008,6.3
01/09/2008,4.51
01/10/2008,3.4
01/11/2008,10.07
01/12/2008,3.21
01/01/2009,1.86
01/02/2009,1.35
01/03/2009,1.76
01/04/2009,4.23
01/05/2009,2.65
01/06/2009,4.07
01/07/2009,9.29
01/08/2009,4.87
01/09/2009,2.69
01/10/2009,1.87
01/11/2009,1.33
01/12/2009,0.41
01/01/2010,0.37
01/02/2010,0.62
01/03/2010,0.53
01/04/2010,4.05
01/05/2010,5.67
01/06/2010,6.14
01/07/2010,8.27
01/08/2010,4.05
01/09/2010,3.11
01/10/2010,5.4
01/11/2010,9.43
01/12/2010,3.37
01/01/2011,1.33
01/02/2011,2.07
01/03/2011,8.16
01/04/2011,15.37
01/05/2011,11.87
01/06/2011,7.21
01/07/2011,5.71
01/08/2011,3.35
01/09/2011,3.19
01/10/2011,9.31
01/11/2011,11.4
01/12/2011,5.69
01/01/2012,1.46
01/02/2012,1.34
01/03/2012,2.98
01/04/2012,13.35
01/05/2012,7.6
01/06/2012,6.45
01/07/2012,11.34
01/08/2012,7.63
01/09/2012,3.71
01/10/2012,5.01
01/11/2012,2.21
01/12/2012,0.77
01/01/2013,0.23
01/02/2013,1.34
01/03/2013,2.08
01/04/2013,3.34
01/05/2013,7.59
01/06/2013,3.56
01/07/2013,4.81
01/08/2013,5.65
01/09/2013,2.54
01/10/2013,1.45
01/11/2013,5.19
01/12/2013,2.69
01/01/2014,0.81
01/02/2014,0.15
01/03/2014,3.78
01/04/2014,1.67
01/05/2014,2.58
01/06/2014,14.33
01/07/2014,13.94
01/08/2014,6.47
01/09/2014,4.81
01/10/2014,2.99
01/11/2014,3.71
01/12/2014,2.08
01/01/2015,0.5
01/02/2015,0.5
01/03/2015,1.5
01/04/2015,1.7
01/05/2015,1.2
01/06/2015,10
01/07/2015,10
01/08/2015,8.1
01/09/2015,2.9
01/10/2015,0.5
01/11/2015,1.4
01/12/2015,0.3
