codigo ,H/W/S,localizacion,resolucion,nombre,p_instalada (MW),FP (MWh/m3/s)
1212001,1,2,12,sogamoso,819,1.3047
1312002,1,3,12,San Lorenzo,170,2.4761
1312003,1,3,12,San Carlos,1240,5.4605
1312004,1,3,12,calderas,19.9,3.6716
1312005,1,3,12,Miel I,396,2.0019
1312006,1,3,12,amoya,80,4.8609
2312001,2,3,12,Pepetshi,376,
3212001,3,2,12,Sol Uribia,390,
1612007,1,6,12,Alto Achincaya,355,3.904
1412008,1,4,12,Bata,1000,7.011
1612009,1,6,12,Betania,540,0.6237
1312010,1,3,12,Calima,132,1.8735
1412011,1,4,12,Chuza,35,3.8095
