fecha,valor
01/01/1985,4.7
01/02/1985,4
01/03/1985,6.9
01/04/1985,7.9
01/05/1985,10.6
01/06/1985,6.1
01/07/1985,4.4
01/08/1985,7
01/09/1985,8
01/10/1985,7.4
01/11/1985,5.5
01/12/1985,5.9
01/01/1986,5.4
01/02/1986,5.1
01/03/1986,4.2
01/04/1986,11.4
01/05/1986,8.2
01/06/1986,8.4
01/07/1986,4.5
01/08/1986,7.5
01/09/1986,7.6
01/10/1986,10.6
01/11/1986,10.3
01/12/1986,6.4
01/01/1987,5.4
01/02/1987,5
01/03/1987,6.3
01/04/1987,8.2
01/05/1987,10.3
01/06/1987,8.8
01/07/1987,8.8
01/08/1987,7
01/09/1987,11.1
01/10/1987,13.8
01/11/1987,13.1
01/12/1987,8.6
01/01/1988,3.8
01/02/1988,6.3
01/03/1988,5
01/04/1988,13.2
01/05/1988,14.7
01/06/1988,11.8
01/07/1988,20.9
01/08/1988,13.2
01/09/1988,18.8
01/10/1988,18.6
01/11/1988,20
01/12/1988,18.2
01/01/1989,14.2
01/02/1989,8.4
01/03/1989,12.2
01/04/1989,13
01/05/1989,12.2
01/06/1989,13.3
01/07/1989,5.8
01/08/1989,11.7
01/09/1989,10.4
01/10/1989,14.8
01/11/1989,13.4
01/12/1989,7.7
01/01/1990,6.2
01/02/1990,9
01/03/1990,6.6
01/04/1990,12.4
01/05/1990,9.6
01/06/1990,12
01/07/1990,10.3
01/08/1990,10.5
01/09/1990,13.4
01/10/1990,12.3
01/11/1990,11.5
01/12/1990,9.3
01/01/1991,3.6
01/02/1991,3.7
01/03/1991,5.1
01/04/1991,7.8
01/05/1991,7.5
01/06/1991,7.3
01/07/1991,5.5
01/08/1991,5.3
01/09/1991,8.7
01/10/1991,10.5
01/11/1991,9.5
01/12/1991,6.2
01/01/1992,4.6
01/02/1992,5.2
01/03/1992,5.2
01/04/1992,8.4
01/05/1992,10.1
01/06/1992,6.4
01/07/1992,4.5
01/08/1992,8.6
01/09/1992,9.8
01/10/1992,10.2
01/11/1992,8
01/12/1992,8.6
01/01/1993,7.1
01/02/1993,5.1
01/03/1993,8
01/04/1993,8
01/05/1993,10.4
01/06/1993,5
01/07/1993,8.5
01/08/1993,7.8
01/09/1993,13
01/10/1993,11.3
01/11/1993,9.4
01/12/1993,9.1
01/01/1994,5.3
01/02/1994,6
01/03/1994,9
01/04/1994,11.6
01/05/1994,9.2
01/06/1994,6.9
01/07/1994,6.5
01/08/1994,7.3
01/09/1994,7.8
01/10/1994,8.9
01/11/1994,11.8
01/12/1994,8.6
01/01/1995,4.4
01/02/1995,3.6
01/03/1995,10.8
01/04/1995,10.2
01/05/1995,9.5
01/06/1995,13.3
01/07/1995,9.1
01/08/1995,10.2
01/09/1995,9.5
01/10/1995,11.4
01/11/1995,11.9
01/12/1995,8.6
01/01/1996,5.6
01/02/1996,8.8
01/03/1996,7.4
01/04/1996,15.5
01/05/1996,15
01/06/1996,13.3
01/07/1996,8.6
01/08/1996,13.8
01/09/1996,9.6
01/10/1996,13.9
01/11/1996,9.6
01/12/1996,4.1
01/01/1997,5.3
01/02/1997,10
01/03/1997,7.4
01/04/1997,10.8
01/05/1997,7.1
01/06/1997,9.6
01/07/1997,4.8
01/08/1997,3.8
01/09/1997,11.2
01/10/1997,8.8
01/11/1997,8
01/12/1997,4.4
01/01/1998,4
01/02/1998,3.4
01/03/1998,3.7
01/04/1998,6
01/05/1998,7.8
01/06/1998,7.3
01/07/1998,7.5
01/08/1998,6.1
01/09/1998,9
01/10/1998,10.6
01/11/1998,10
01/12/1998,9.8
01/01/1999,8.6
01/02/1999,9.7
01/03/1999,8.6
01/04/1999,10.2
01/05/1999,9
01/06/1999,8.5
01/07/1999,6.1
01/08/1999,6.8
01/09/1999,8.6
01/10/1999,9.6
01/11/1999,8.3
01/12/1999,8.6
01/01/2000,2.7
01/02/2000,4.4
01/03/2000,7.8
01/04/2000,7.9
01/05/2000,9.4
01/06/2000,9.2
01/07/2000,8.8
01/08/2000,6.3
01/09/2000,10.9
01/10/2000,11.4
01/11/2000,8.2
01/12/2000,7.8
01/01/2001,3.1
01/02/2001,2.6
01/03/2001,4.9
01/04/2001,3.7
01/05/2001,7.6
01/06/2001,4.2
01/07/2001,7.4
01/08/2001,2.4
01/09/2001,5.5
01/10/2001,8.8
01/11/2001,6.7
01/12/2001,6.1
01/01/2002,3.3
01/02/2002,2.9
01/03/2002,4.2
01/04/2002,10
01/05/2002,5.1
01/06/2002,8.6
01/07/2002,2.6
01/08/2002,4.2
01/09/2002,7.2
01/10/2002,7.5
01/11/2002,5
01/12/2002,3.4
01/01/2003,1.9
01/02/2003,2.6
01/03/2003,3.4
01/04/2003,7.4
01/05/2003,7.3
01/06/2003,10.5
01/07/2003,5.1
01/08/2003,5
01/09/2003,5.4
01/10/2003,7.3
01/11/2003,5.8
01/12/2003,9
01/01/2004,4.9
01/02/2004,4.7
01/03/2004,5.6
01/04/2004,8
01/05/2004,9
01/06/2004,6.2
01/07/2004,7.9
01/08/2004,5.2
01/09/2004,11.3
01/10/2004,8.1
01/11/2004,15.9
01/12/2004,6.6
01/01/2005,4.7
01/02/2005,4.8
01/03/2005,4.3
01/04/2005,5.5
01/05/2005,9.9
01/06/2005,13.6
01/07/2005,6.1
01/08/2005,5.4
01/09/2005,5.6
01/10/2005,10.6
01/11/2005,17.7
01/12/2005,5.5
01/01/2006,5.1
01/02/2006,7.4
01/03/2006,10.1
01/04/2006,9.5
01/05/2006,8.2
01/06/2006,7.6
01/07/2006,3.8
01/08/2006,7.3
01/09/2006,5.5
01/10/2006,17.6
01/11/2006,16
01/12/2006,7.5
01/01/2007,6.6
01/02/2007,6.2
01/03/2007,7.3
01/04/2007,8
01/05/2007,16.3
01/06/2007,8.4
01/07/2007,10.4
01/08/2007,13.8
01/09/2007,16
01/10/2007,22.1
01/11/2007,8.6
01/12/2007,5.7
01/01/2008,4.2
01/02/2008,6.4
01/03/2008,9.6
01/04/2008,8
01/05/2008,12.7
01/06/2008,8.7
01/07/2008,10.3
01/08/2008,13.1
01/09/2008,5.5
01/10/2008,10.9
01/11/2008,12.5
01/12/2008,4.8
01/01/2009,8.5
01/02/2009,5.1
01/03/2009,5.9
01/04/2009,8.2
01/05/2009,8.8
01/06/2009,5.9
01/07/2009,3.7
01/08/2009,5.9
01/09/2009,5.1
01/10/2009,7.7
01/11/2009,10.1
01/12/2009,5.1
01/01/2010,2.6
01/02/2010,2.8
01/03/2010,3.4
01/04/2010,4.9
01/05/2010,5.9
01/06/2010,7.3
01/07/2010,8.3
01/08/2010,8.8
01/09/2010,10.7
01/10/2010,12.8
01/11/2010,14.1
01/12/2010,10.3
01/01/2011,4.4
01/02/2011,5.3
01/03/2011,14.1
01/04/2011,22
01/05/2011,11.9
01/06/2011,7.9
01/07/2011,10.9
01/08/2011,10.6
01/09/2011,7
01/10/2011,9.3
01/11/2011,13.9
01/12/2011,12
01/01/2012,5.86
01/02/2012,4.48
01/03/2012,6.23
01/04/2012,12.81
01/05/2012,12.62
01/06/2012,7.88
01/07/2012,7.73
01/08/2012,7.92
01/09/2012,6.37
01/10/2012,11.9
01/11/2012,12.42
01/12/2012,7.78
01/01/2013,5.3
01/02/2013,6.43
01/03/2013,9.96
01/04/2013,6.97
01/05/2013,12.93
01/06/2013,10.74
01/07/2013,7.49
01/08/2013,13.1
01/09/2013,11.86
01/10/2013,12.13
01/11/2013,13.31
01/12/2013,12.46
01/01/2014,7.74
01/02/2014,10.68
01/03/2014,12.6
01/04/2014,9.29
01/05/2014,11.39
01/06/2014,10.07
01/07/2014,6.81
01/08/2014,7.03
01/09/2014,9.84
01/10/2014,14.35
01/11/2014,13.64
01/12/2014,10.14
01/01/2015,7.1
01/02/2015,9.2
01/03/2015,10.2
01/04/2015,16
01/05/2015,14
01/06/2015,15.5
01/07/2015,12.6
01/08/2015,14.6
01/09/2015,14.7
01/10/2015,7
01/11/2015,9.2
01/12/2015,5.5
