Promedios,,59.71594086,11.42459677,70.99419355,2.628763441,5.018360215,11.60145161,3.882365591,2.22983871,3.361317204,2.748387097,185.8782527,232.2088145,19.26351344,610.9557957,3222.034677
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,BATA,CHUZA,GUAVIO,RUCIO,NEGRO,TUNJITA,TOMINE,SISGA,BARAYA,TEUSACA,BETANIA,EL QUIMBO,AMOYA,APORTES AGREGADOS_REG1,APORTES AGREGADOS_PAIS
,,1412008,1412011,1412017,1412032,1412033,1412034,1412036,1412037,1412039,1412041,1612009,1612047,1312006,1612081,1612080
1,Jan,11.49,2.31,15.97,0.67,1.18,1.84,0.83,0.33,0.82,1.23,131.10,140.28,13.95,322.01,2277.83
2,Feb,10.56,3.45,19.03,0.74,1.35,2.15,1.04,0.33,0.81,1.16,136.65,158.58,14.34,350.18,2204.91
3,Mar,16.01,5.78,32.12,1.15,2.08,3.95,1.90,0.62,1.29,1.54,178.09,184.53,16.22,445.29,2543.23
4,Apr,36.41,11.90,66.62,2.40,4.32,8.89,3.22,1.42,2.36,2.23,214.39,228.92,21.22,604.30,3403.85
5,May,71.34,17.34,109.34,3.79,7.29,16.70,5.13,2.85,3.64,3.00,227.54,272.43,23.36,763.75,3980.83
6,Jun,113.18,22.45,139.15,4.98,10.21,22.32,7.19,4.72,5.81,3.95,243.41,356.32,23.92,957.61,3742.05
7,Jul,138.46,23.32,148.70,5.42,11.31,22.85,8.77,6.24,8.39,4.94,244.37,370.94,23.11,1016.83,3427.86
8,Aug,114.12,15.75,107.61,4.52,8.52,20.03,5.65,4.06,5.75,3.86,179.74,287.95,19.68,777.21,3035.36
9,Sep,66.96,11.28,69.86,2.79,5.08,13.61,3.11,1.87,2.94,2.24,121.68,206.08,16.67,524.17,3056.59
10,Oct,57.54,9.88,59.62,2.15,3.73,11.51,3.77,1.76,3.03,2.75,157.84,196.87,19.95,530.39,3678.51
11,Nov,52.27,8.89,52.71,1.80,3.18,10.57,4.14,1.73,3.45,3.51,202.76,204.21,20.33,569.54,4027.79
12,Dec,28.25,4.76,31.19,1.14,1.97,4.79,1.84,0.84,2.05,2.58,192.97,179.39,18.41,470.18,3285.60
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,Jan,0.19,0.20,0.22,0.26,0.24,0.16,0.21,0.15,0.25,0.45,0.71,0.60,0.72,0.53,0.71
2,Feb,0.18,0.30,0.27,0.28,0.27,0.19,0.27,0.15,0.24,0.42,0.74,0.68,0.74,0.57,0.68
3,Mar,0.27,0.51,0.45,0.44,0.41,0.34,0.49,0.28,0.38,0.56,0.96,0.79,0.84,0.73,0.79
4,Apr,0.61,1.04,0.94,0.91,0.86,0.77,0.83,0.64,0.70,0.81,1.15,0.99,1.10,0.99,1.06
5,May,1.19,1.52,1.54,1.44,1.45,1.44,1.32,1.28,1.08,1.09,1.22,1.17,1.21,1.25,1.24
6,Jun,1.90,1.96,1.96,1.90,2.04,1.92,1.85,2.12,1.73,1.44,1.31,1.53,1.24,1.57,1.16
7,Jul,2.32,2.04,2.09,2.06,2.25,1.97,2.26,2.80,2.50,1.80,1.31,1.60,1.20,1.66,1.06
8,Aug,1.91,1.38,1.52,1.72,1.70,1.73,1.45,1.82,1.71,1.40,0.97,1.24,1.02,1.27,0.94
9,Sep,1.12,0.99,0.98,1.06,1.01,1.17,0.80,0.84,0.87,0.82,0.65,0.89,0.87,0.86,0.95
10,Oct,0.96,0.86,0.84,0.82,0.74,0.99,0.97,0.79,0.90,1.00,0.85,0.85,1.04,0.87,1.14
11,Nov,0.88,0.78,0.74,0.69,0.63,0.91,1.07,0.77,1.03,1.28,1.09,0.88,1.06,0.93,1.25
12,Dec,0.47,0.42,0.44,0.43,0.39,0.41,0.47,0.38,0.61,0.94,1.04,0.77,0.96,0.77,1.02
,Coef de correl,0.52,0.61,0.59,0.53,0.50,0.62,0.63,0.49,0.53,0.69,0.68,0.53,0.87,0.61,1.00
,,,,,,,,,,,,,,,,
